term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11,term_12,term_13,term_14,term_15,term_16,term_17,term_18,term_19,term_20,demanda_term_1,demanda_term_2,demanda_term_3,demanda_term_4,demanda_term_5,demanda_term_6,demanda_term_7,demanda_term_8,demanda_term_9,demanda_term_10,demanda_term_11,demanda_term_12,demanda_term_13,demanda_term_14,demanda_term_15,demanda_term_16,demanda_term_17,demanda_term_18,demanda_term_19,demanda_term_20,tempo_ligada_term_1,tempo_ligada_term_2,tempo_ligada_term_3,tempo_ligada_term_4,tempo_ligada_term_5,tempo_ligada_term_6,tempo_ligada_term_7,tempo_ligada_term_8,tempo_ligada_term_9,tempo_ligada_term_10,tempo_ligada_term_11,tempo_ligada_term_12,tempo_ligada_term_13,tempo_ligada_term_14,tempo_ligada_term_15,tempo_ligada_term_16,tempo_ligada_term_17,tempo_ligada_term_18,tempo_ligada_term_19,tempo_ligada_term_20,tempo_desligada_term_1,tempo_desligada_term_2,tempo_desligada_term_3,tempo_desligada_term_4,tempo_desligada_term_5,tempo_desligada_term_6,tempo_desligada_term_7,tempo_desligada_term_8,tempo_desligada_term_9,tempo_desligada_term_10,tempo_desligada_term_11,tempo_desligada_term_12,tempo_desligada_term_13,tempo_desligada_term_14,tempo_desligada_term_15,tempo_desligada_term_16,tempo_desligada_term_17,tempo_desligada_term_18,tempo_desligada_term_19,tempo_desligada_term_20,tempo,demanda,custo
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,119,89,0,0,0,118,111,0,0,0,38.0,0,0,0,0,0,96,0,82,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,4,0,0,1,7,1,0,3,3,4,4,4,0,5,0,4,0,653.0,34998.0
1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,119,89,0,18.0,0,118,111,0,0,0,93,0,0,0,0,0,96,0,82,0,2,2,0,1,0,2,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,5,0,0,2,8,2,0,4,4,5,5,5,0,6,0,5,1,726.0,39285.0
1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,119,89,0,105,0,118,111,0,0,7,93,0,95.0,0,0,80,96,0,82,0,3,3,0,2,0,3,3,0,0,1,3,0,1,0,0,1,3,0,3,0,0,0,3,0,6,0,0,3,9,0,0,5,0,6,6,0,0,7,0,6,2,995.0,56603.0
1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,119,89,0,8,0,118,111,0,0,0,18.0,0,2,0,0,5,96,0,82,0,4,4,0,3,0,4,4,0,0,0,4,0,2,0,0,2,4,0,4,0,0,0,4,0,7,0,0,4,10,1,0,6,0,7,7,0,0,8,0,7,3,648.0,34820.0
1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,119,89,0,105,0,118,111,0,0,16.0,93,0,101,0,0,80,96,0,82,0,5,5,0,4,0,5,5,0,0,1,5,0,3,0,0,3,5,0,5,0,0,0,5,0,8,0,0,5,11,0,0,7,0,8,8,0,0,9,0,8,4,1010.0,57578.0
1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,119,89,0,105,0,118,111,0,0,82,93,0,101,0,82,80,96,16.0,82,0,6,6,0,5,0,6,6,0,0,2,6,0,4,0,1,4,6,1,6,0,0,0,6,0,9,0,0,6,12,0,0,8,0,9,0,0,0,0,0,9,5,1174.0,68450.0
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,119,89,0,105,0,118,111,0,0,0,93,0,100.0,0,9,80,96,1,82,0,7,7,0,6,0,7,7,0,0,0,7,0,5,0,2,5,7,2,7,0,0,0,7,0,10,0,0,7,13,1,0,9,0,10,0,0,0,0,0,10,6,1003.0,57144.0
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,119,0,0,8,0,118,103.0,0,0,0,0,0,0,0,9,5,96,1,82,0,8,0,0,7,0,8,8,0,0,0,0,0,0,0,3,6,8,3,8,0,0,1,8,0,11,0,0,8,14,2,1,10,1,11,0,0,0,0,0,11,7,541.0,28814.0
1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,119,0,0,105,72.0,118,111,0,0,82,0,110,0,0,82,80,96,103,82,0,9,0,0,8,1,9,9,0,0,1,0,1,0,0,4,7,9,4,9,0,0,2,9,0,0,0,0,9,15,0,2,0,2,12,0,0,0,0,0,12,8,1160.0,70057.0
1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,119,0,0,105,90.0,118,111,0,0,82,0,110,0,0,82,80,96,103,82,0,10,0,0,9,2,10,10,0,0,2,0,2,0,0,5,8,10,5,10,0,0,3,10,0,0,0,0,10,16,0,3,0,3,13,0,0,0,0,0,13,9,1178.0,71317.0
